name,code,childrenUrl,comment,url
"AMIGO - Populatia ocupata cu program de lucru complet, dupa durata obisnuita a saptamanii de lucru, statut profesional si sexe",AMG116A,matrix,,matrix
"AMIGO - Populatia ocupata cu program de lucru complet, dupa durata obisnuita a saptamanii de lucru, statut profesional si medii de rezidenta",AMG116B,matrix,,matrix
"AMIGO - Populatia ocupata cu program de lucru complet, dupa durata efectiva a saptamanii de lucru, statut profesional si sexe",AMG116E,matrix,,matrix
"AMIGO - Populatia ocupata cu program de lucru complet, dupa durata efectiva a saptamanii de lucru, statut profesional si medii de rezidenta",AMG116F,matrix,,matrix
"AMIGO - Persoane care au o activitate secundara dupa nivel de educatie, pe sexe",AMG119A,matrix,,matrix
"AMIGO - Persoane care au o activitate secundara dupa nivel de educatie, pe medii de rezidenta",AMG119B,matrix,,matrix
AMIGO - Persoane care au o activitate secundara pe grupe de varsta si sexe,AMG119C,matrix,,matrix
AMIGO - Persoane care au o activitate secundara pe grupe de varsta si medii de rezidenta,AMG119D,matrix,,matrix
AMIGO - Someri BIM pe grupe de varsta si sexe,AMG130A,matrix,,matrix
AMIGO - Someri BIM pe grupe de varsta si medii de rezidenta,AMG130B,matrix,,matrix
"AMIGO - Someri BIM dupa nivelul de educatie, pe grupe de varsta si sexe",AMG130G,matrix,,matrix
"AMIGO - Someri BIM dupa nivelul de educatie, pe grupe de varsta si medii de rezidenta",AMG130H,matrix,,matrix
"AMIGO - Someri BIM dupa durata somajului, pe grupe de varsta  si sexe",AMG130K,matrix,,matrix
"AMIGO - Someri BIM dupa durata somajului , pe grupe de varsta si medii de rezidenta",AMG130L,matrix,,matrix
"AMIGO - Someri BIM - date cu frecventa lunara, serie bruta, pe grupe de varsta si sexe",AMG130M,matrix,,matrix
"AMIGO - Someri BIM - date cu frecventa lunara, serie ajustata sezonier, pe grupe de varsta si sexe",AMG130N,matrix,,matrix
"AMIGO - Someri BIM - date cu frecventa lunara, trend, pe grupe de varsta si sexe",AMG130O,matrix,,matrix
AMIGO-Someri BIM pe grupe de varsta si sexe (date comparabile),AMG131A,matrix,,matrix
AMIGO-Someri BIM pe grupe de varsta si medii de rezidenta (date comparabile),AMG131B,matrix,,matrix
AMIGO - Someri BIM care nu au lucrat niciodata pe grupe de varsta si sexe,AMG138A,matrix,,matrix
AMIGO - Someri BIM care nu au lucrat niciodata pe grupe de varsta  si medii de rezidenta,AMG138B,matrix,,matrix
AMIGO - Someri BIM care nu au lucrat niciodata dupa nivelul de educatie si sexe,AMG138C,matrix,,matrix
AMIGO - Someri BIM care nu au lucrat niciodata dupa nivelul de educatie si medii de rezidenta,AMG138D,matrix,,matrix
AMIGO - Someri BIM care au lucrat inainte pe grupe de varsta  si sexe,AMG139A,matrix,,matrix
AMIGO - Someri BIM care au lucrat inainte pe grupe de varsta  si medii de rezidenta,AMG139B,matrix,,matrix
AMIGO - Someri BIM care au lucrat inainte dupa nivel de educatie si sexe,AMG139C,matrix,,matrix
AMIGO - Someri BIM care au lucrat inainte dupa nivel de educatie si medii de rezidenta,AMG139D,matrix,,matrix
AMIGO - Persoane inactive  pe grupe de varsta si sexe,AMG145A,matrix,,matrix
AMIGO - Persoane inactive  pe grupe de varsta si medii de rezidenta,AMG145B,matrix,,matrix
"AMIGO - Populatia inactiva de 15 ani si peste dupa nivelul de educatie, pe grupe de varsta si sexe",AMG146E,matrix,,matrix
"AMIGO - Populatia inactiva de 15 ani si peste dupa nivelul de educatie, pe grupe de varsta si medii de rezidenta",AMG146F,matrix,,matrix
AMIGO - Persoane descurajate in a mai gasi un loc de munca pe grupe de varsta si sexe,AMG152A,matrix,,matrix
AMIGO - Persoane descurajate in a mai gasi un loc de munca pe grupe de varsta si medii de rezidenta,AMG152B,matrix,,matrix
AMIGO - Rata de activitate pe grupe de varsta si sexe,AMG155A,matrix,,matrix
AMIGO - Rata de activitate pe grupe de varsta si medii de rezidenta,AMG155B,matrix,,matrix
AMIGO - Rata de activitate pe grupe de varsta si sexe,AMG155C,matrix,,matrix
AMIGO - Rata de activitate pe grupe de varsta si medii de rezidenta,AMG155D,matrix,,matrix
"AMIGO - Rata de activitate pe grupe de varsta, medii de rezidenta, macroregiuni si regiuni de dezvoltare",AMG155E,matrix,,matrix
"AMIGO - Rata de activitate pe grupe de varsta, sexe, macroregiuni si regiuni de dezvoltare",AMG155F,matrix,,matrix
AMIGO - Rata de ocupare pe grupe de varsta si sexe,AMG156A,matrix,,matrix
AMIGO - Rata de ocupare pe grupe de varsta  si medii de rezidenta,AMG156B,matrix,,matrix
AMIGO - Rata de ocupare pe grupe de varsta si sexe,AMG156C,matrix,,matrix
AMIGO - Rata de ocupare pe grupe de varsta si medii de rezidenta,AMG156D,matrix,,matrix
